"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/09/2021";"0000";"18,8";"19,0";"18,8";"85,0";"88,0";"85,0";"16,2";"16,9";"16,2";"920,8";"920,8";"920,4";"4,3";"248,0";"9,5";"";"0,0"
"16/09/2021";"0100";"18,5";"18,8";"18,5";"86,0";"86,0";"85,0";"16,1";"16,3";"16,1";"921,4";"921,4";"920,7";"3,9";"252,0";"10,9";"";"0,0"
"16/09/2021";"0200";"18,1";"18,5";"18,1";"88,0";"88,0";"86,0";"16,1";"16,2";"16,1";"921,5";"921,7";"921,4";"3,2";"256,0";"9,6";"";"0,0"
"16/09/2021";"0300";"17,9";"18,1";"17,9";"90,0";"91,0";"88,0";"16,2";"16,4";"16,1";"921,1";"921,6";"921,1";"3,9";"249,0";"9,8";"";"0,0"
"16/09/2021";"0400";"17,9";"18,0";"17,9";"90,0";"90,0";"89,0";"16,2";"16,3";"16,2";"920,6";"921,2";"920,6";"3,7";"258,0";"9,8";"";"0,0"
"16/09/2021";"0500";"17,8";"17,9";"17,6";"90,0";"92,0";"90,0";"16,2";"16,3";"16,2";"920,0";"920,7";"920,0";"3,2";"247,0";"7,7";"";"0,0"
"16/09/2021";"0600";"17,5";"17,8";"17,5";"91,0";"91,0";"89,0";"16,0";"16,1";"15,9";"919,6";"920,0";"919,6";"4,2";"250,0";"11,0";"";"0,0"
"16/09/2021";"0700";"17,7";"17,7";"17,5";"91,0";"91,0";"91,0";"16,1";"16,1";"16,0";"919,9";"919,9";"919,5";"3,9";"255,0";"9,3";"";"0,0"
"16/09/2021";"0800";"17,6";"17,7";"17,6";"91,0";"91,0";"90,0";"16,2";"16,2";"16,1";"920,6";"920,6";"919,9";"4,2";"253,0";"8,6";"";"0,0"
"16/09/2021";"0900";"17,6";"17,6";"17,5";"91,0";"92,0";"91,0";"16,2";"16,2";"16,1";"921,2";"921,2";"920,5";"4,7";"252,0";"9,5";"";"0,0"
"16/09/2021";"1000";"17,7";"17,7";"17,6";"90,0";"91,0";"90,0";"16,0";"16,2";"16,0";"922,1";"922,1";"921,2";"4,0";"251,0";"8,3";"30,80";"0,0"
"16/09/2021";"1100";"17,6";"17,7";"17,5";"90,0";"90,0";"89,0";"16,0";"16,0";"15,9";"922,3";"922,5";"922,1";"3,1";"240,0";"8,9";"102,10";"0,0"
"16/09/2021";"1200";"17,8";"17,8";"17,5";"88,0";"91,0";"88,0";"15,8";"16,0";"15,8";"923,0";"923,1";"922,4";"4,5";"252,0";"9,1";"266,40";"0,0"
"16/09/2021";"1300";"18,0";"18,0";"17,8";"88,0";"89,0";"87,0";"16,0";"16,1";"15,7";"923,1";"923,2";"923,0";"3,6";"255,0";"10,2";"396,70";"0,0"
"16/09/2021";"1400";"19,8";"20,6";"18,0";"77,0";"88,0";"75,0";"15,7";"16,3";"15,6";"922,4";"923,1";"922,4";"5,1";"254,0";"9,8";"1882,00";"0,0"
"16/09/2021";"1500";"21,6";"21,6";"19,7";"73,0";"78,0";"71,0";"16,4";"16,5";"15,6";"921,7";"922,4";"921,6";"4,4";"250,0";"10,1";"2554,70";"0,0"
"16/09/2021";"1600";"22,0";"23,2";"21,6";"70,0";"72,0";"66,0";"16,2";"16,9";"15,9";"921,2";"921,7";"921,2";"4,4";"255,0";"9,5";"2652,10";"0,0"
"16/09/2021";"1700";"23,2";"23,3";"21,9";"66,0";"70,0";"66,0";"16,5";"17,0";"16,1";"920,8";"921,2";"920,8";"5,0";"247,0";"11,6";"2402,90";"0,0"
"16/09/2021";"1800";"23,1";"23,4";"22,4";"66,0";"68,0";"65,0";"16,4";"16,6";"16,0";"920,3";"920,8";"920,2";"5,3";"253,0";"11,6";"2309,10";"0,0"
"16/09/2021";"1900";"20,0";"23,1";"20,0";"77,0";"77,0";"65,0";"15,9";"16,5";"15,8";"920,7";"920,7";"920,0";"5,4";"259,0";"11,0";"1022,70";"0,0"
"16/09/2021";"2000";"18,6";"20,1";"18,6";"83,0";"83,0";"77,0";"15,7";"16,0";"15,6";"921,4";"921,4";"920,7";"5,1";"257,0";"11,6";"314,90";"0,0"
"16/09/2021";"2100";"17,4";"18,6";"17,4";"87,0";"87,0";"83,0";"15,3";"15,8";"15,3";"922,0";"922,0";"921,4";"4,7";"254,0";"11,6";"33,30";"0,0"
"16/09/2021";"2200";"17,2";"17,5";"17,1";"86,0";"87,0";"85,0";"14,8";"15,4";"14,8";"922,4";"922,4";"922,0";"5,2";"255,0";"9,7";"";"0,0"
"16/09/2021";"2300";"16,8";"17,2";"16,7";"86,0";"86,0";"85,0";"14,4";"14,8";"14,2";"922,5";"922,7";"922,3";"4,9";"257,0";"11,8";"";"0,0"
"17/09/2021";"0000";"16,5";"16,8";"16,5";"85,0";"86,0";"84,0";"13,9";"14,4";"13,9";"922,7";"922,7";"922,4";"4,2";"240,0";"13,0";"";"0,0"
"17/09/2021";"0100";"16,1";"16,5";"16,1";"86,0";"86,0";"85,0";"13,8";"13,9";"13,8";"922,5";"922,8";"922,4";"4,3";"249,0";"13,9";"";"0,0"
"17/09/2021";"0200";"16,1";"16,2";"16,1";"86,0";"86,0";"86,0";"13,8";"13,8";"13,7";"922,0";"922,5";"922,0";"4,4";"249,0";"11,3";"";"0,0"
"17/09/2021";"0300";"16,1";"16,2";"16,1";"87,0";"87,0";"86,0";"14,0";"14,0";"13,8";"921,7";"922,0";"921,7";"3,7";"254,0";"9,6";"";"0,0"
"17/09/2021";"0400";"16,0";"16,2";"16,0";"88,0";"88,0";"87,0";"13,9";"14,0";"13,9";"921,4";"921,9";"921,3";"4,2";"256,0";"9,1";"";"0,0"
"17/09/2021";"0500";"16,0";"16,1";"15,9";"88,0";"88,0";"87,0";"13,9";"14,0";"13,9";"920,9";"921,6";"920,8";"4,3";"255,0";"9,6";"";"0,0"
"17/09/2021";"0600";"16,0";"16,0";"15,9";"88,0";"89,0";"88,0";"14,1";"14,1";"13,9";"920,4";"920,9";"920,4";"2,0";"244,0";"8,4";"";"0,0"
"17/09/2021";"0700";"16,1";"16,1";"16,0";"88,0";"89,0";"88,0";"14,1";"14,1";"14,0";"920,5";"920,5";"920,2";"2,7";"246,0";"6,3";"";"0,0"
"17/09/2021";"0800";"15,9";"16,1";"15,9";"90,0";"90,0";"88,0";"14,2";"14,2";"14,1";"920,9";"920,9";"920,5";"1,9";"254,0";"6,5";"";"0,0"
"17/09/2021";"0900";"15,8";"15,9";"15,8";"91,0";"91,0";"90,0";"14,3";"14,3";"14,2";"921,0";"921,1";"920,9";"2,0";"224,0";"6,2";"";"0,0"
"17/09/2021";"1000";"16,2";"16,2";"15,8";"90,0";"91,0";"90,0";"14,6";"14,6";"14,3";"921,2";"921,3";"920,9";"2,1";"232,0";"7,8";"118,30";"0,0"
"17/09/2021";"1100";"16,6";"16,6";"16,2";"88,0";"90,0";"88,0";"14,6";"14,7";"14,5";"922,0";"922,0";"921,2";"3,6";"248,0";"7,3";"494,10";"0,0"
"17/09/2021";"1200";"18,7";"18,9";"16,6";"77,0";"88,0";"77,0";"14,6";"14,9";"14,4";"921,9";"922,0";"921,7";"3,3";"251,0";"7,3";"1330,40";"0,0"
"17/09/2021";"1300";"19,6";"19,6";"18,5";"75,0";"79,0";"75,0";"15,1";"15,3";"14,5";"921,3";"922,0";"921,2";"3,1";"246,0";"8,1";"1598,50";"0,0"
"17/09/2021";"1400";"20,9";"21,7";"19,4";"70,0";"76,0";"68,0";"15,2";"15,6";"14,8";"920,7";"921,2";"920,7";"3,8";"250,0";"8,2";"2362,90";"0,0"
"17/09/2021";"1500";"23,2";"23,6";"21,0";"63,0";"70,0";"62,0";"15,9";"16,2";"15,2";"919,3";"920,7";"919,3";"2,7";"240,0";"7,5";"2960,40";"0,0"
"17/09/2021";"1600";"25,7";"25,9";"23,1";"57,0";"64,0";"56,0";"16,6";"17,0";"15,5";"918,1";"919,3";"918,1";"1,7";"226,0";"5,6";"2910,50";"0,0"
"17/09/2021";"1700";"27,5";"27,5";"25,1";"52,0";"58,0";"51,0";"16,9";"17,2";"15,9";"917,2";"918,1";"917,2";"1,9";"253,0";"4,9";"2616,60";"0,0"
"17/09/2021";"1800";"25,8";"27,8";"25,8";"57,0";"57,0";"51,0";"16,6";"17,1";"16,0";"916,6";"917,2";"916,6";"3,1";"242,0";"6,1";"2054,30";"0,0"
"17/09/2021";"1900";"25,8";"26,4";"25,4";"59,0";"59,0";"57,0";"17,2";"17,2";"16,6";"916,4";"916,6";"916,3";"2,9";"250,0";"7,3";"1184,40";"0,0"
"17/09/2021";"2000";"24,3";"25,9";"24,3";"66,0";"66,0";"59,0";"17,4";"17,5";"16,8";"916,6";"916,6";"916,4";"1,6";"211,0";"5,4";"415,30";"0,0"
