"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"16/02/2023";"0000";"20,5";"22,8";"20,4";"100,0";"100,0";"75,0";"20,5";"20,6";"18,0";"911,6";"911,9";"910,9";"2,8";"105,0";"10,7";"";"2,8"
"16/02/2023";"0100";"20,8";"20,8";"20,4";"99,0";"100,0";"99,0";"20,6";"20,7";"20,4";"911,1";"911,7";"911,1";"1,0";"104,0";"7,6";"";"0,0"
"16/02/2023";"0200";"20,9";"21,0";"20,8";"91,0";"99,0";"90,0";"19,3";"20,6";"19,3";"911,0";"911,1";"911,0";"1,9";"73,0";"5,0";"";"0,0"
"16/02/2023";"0300";"21,0";"21,0";"20,9";"89,0";"91,0";"87,0";"19,0";"19,4";"18,8";"910,8";"911,0";"910,8";"1,7";"78,0";"4,0";"";"0,0"
"16/02/2023";"0400";"19,9";"21,1";"19,9";"100,0";"100,0";"88,0";"19,9";"20,3";"19,0";"910,7";"910,8";"910,6";"2,7";"73,0";"5,1";"";"1,8"
"16/02/2023";"0500";"20,0";"20,0";"19,6";"100,0";"100,0";"100,0";"20,0";"20,0";"19,6";"910,1";"910,7";"910,1";"1,2";"99,0";"5,1";"";"0,6"
"16/02/2023";"0600";"20,5";"20,6";"20,0";"97,0";"100,0";"96,0";"20,0";"20,4";"19,9";"909,6";"910,2";"909,6";"2,8";"100,0";"7,0";"";"0,0"
"16/02/2023";"0700";"20,6";"20,7";"20,4";"93,0";"99,0";"93,0";"19,5";"20,3";"19,5";"909,1";"909,6";"909,1";"2,0";"84,0";"7,0";"";"0,0"
"16/02/2023";"0800";"20,8";"20,9";"20,6";"89,0";"93,0";"87,0";"18,9";"19,5";"18,7";"909,2";"909,2";"909,0";"2,7";"81,0";"5,2";"";"0,0"
"16/02/2023";"0900";"20,6";"20,8";"20,4";"90,0";"96,0";"88,0";"19,0";"19,7";"18,7";"909,5";"909,5";"909,2";"1,3";"52,0";"5,2";"";"0,0"
"16/02/2023";"1000";"21,1";"21,1";"20,6";"85,0";"91,0";"85,0";"18,6";"19,1";"18,5";"909,8";"909,8";"909,5";"3,0";"88,0";"5,4";"108,40";"0,0"
"16/02/2023";"1100";"23,2";"23,2";"21,1";"74,0";"86,0";"74,0";"18,4";"19,2";"18,4";"910,2";"910,2";"909,8";"3,2";"85,0";"6,2";"747,20";"0,0"
"16/02/2023";"1200";"23,5";"23,9";"23,1";"71,0";"74,0";"69,0";"17,9";"18,5";"17,7";"910,7";"910,7";"910,2";"5,8";"78,0";"9,2";"1627,20";"0,0"
"16/02/2023";"1300";"24,0";"24,0";"23,3";"69,0";"73,0";"68,0";"17,9";"18,3";"17,6";"910,6";"910,7";"910,6";"6,1";"73,0";"10,9";"1020,10";"0,0"
"16/02/2023";"1400";"24,5";"24,7";"23,9";"68,0";"70,0";"67,0";"18,1";"18,7";"17,6";"910,6";"910,7";"910,5";"6,2";"71,0";"10,9";"1420,40";"0,0"
"16/02/2023";"1500";"25,4";"25,5";"24,5";"66,0";"69,0";"65,0";"18,5";"18,7";"18,0";"910,1";"910,6";"910,1";"4,6";"81,0";"10,1";"1668,00";"0,0"
"16/02/2023";"1600";"27,1";"27,5";"25,4";"60,0";"67,0";"59,0";"18,6";"19,6";"18,4";"909,6";"910,1";"909,6";"6,1";"72,0";"10,6";"2266,60";"0,0"
"16/02/2023";"1700";"27,9";"28,3";"26,4";"57,0";"62,0";"55,0";"18,5";"19,6";"18,1";"908,9";"909,6";"908,9";"5,5";"46,0";"10,7";"3285,80";"0,0"
"16/02/2023";"1800";"28,9";"28,9";"27,9";"55,0";"60,0";"54,0";"19,0";"19,9";"18,1";"908,3";"908,9";"908,2";"5,0";"44,0";"10,3";"3065,60";"0,0"
"16/02/2023";"1900";"28,6";"29,2";"27,9";"57,0";"58,0";"53,0";"19,3";"19,3";"18,0";"907,8";"908,3";"907,8";"5,1";"54,0";"9,8";"2263,00";"0,0"
"16/02/2023";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16/02/2023";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
